Ticks,HealthyPersonsInTown,InfectedPersonsInTown,IncPeriodPersonsInTown,IncPeriodPersonsInTown2,AntibioticTreatedPersonsInTown,AntibioticTreatedPersonsInTown2,InfectedPersonsInHospital,HealthyPersonsInHospital,pGetInfectedTown,AvMicResistance,AvPathResistance
0,10000,50,50,0,0,0,0,0,0.0008001589,0,0
1,9969,60,60,0,0,0,0,21,0.0009622012,0,0
2,9943,68,68,0,0,0,0,39,0.0010924554,0,0
3,9916,77,77,0,0,0,0,57,0.0012392734,0,0
4,9891,86,86,0,0,0,0,73,0.0013863432,0,0
5,9856,99,39,0,43,17,0,95,0.0006300799,0.0002842928,0
6,9824,113,45,0,50,18,0,113,0.0007283322,0.0006064914,0
7,9796,120,43,17,57,3,0,134,0.0009731662,0.0009713339,0
8,9785,136,50,18,62,6,0,129,0.0011023658,0.0012794757,0.0294117647
9,9770,144,45,20,71,8,0,136,0.0010544761,0.0016433705,0.0555555556
10,9786,113,43,24,42,4,16,135,0.0010885685,0.002499092,0.0775193798
11,9782,121,51,28,42,0,17,130,0.0012830175,0.0022485984,0.0869565217
12,9774,107,45,11,45,6,36,133,0.0009115057,0.0025922769,0.0909090909
13,9767,111,47,10,47,7,39,133,0.0009280644,0.0026355526,0.0666666667
14,9770,109,45,14,46,4,46,125,0.0009605308,0.0029029458,0.0451612903
15,9767,106,45,11,44,6,51,126,0.0009122443,0.0030214012,0.0573248408
16,9777,100,40,10,46,4,57,116,0.000814174,0.0031948198,0.0636942675
17,9785,100,40,13,43,4,44,121,0.000862326,0.0033257525,0.0625
18,9773,102,39,14,45,4,48,127,0.0008631992,0.003489063,0.0733333333
19,9797,94,30,11,47,6,38,121,0.0006666777,0.0036133621,0.0984848485
20,9806,84,28,11,38,7,41,119,0.000634221,0.0037348183,0.08
21,9802,80,26,13,38,3,40,128,0.0006347344,0.0037900975,0.075
22,9805,77,24,12,39,2,41,127,0.0005859087,0.0038190006,0.0847457627
23,9808,69,20,12,36,1,40,133,0.0005210714,0.0038794919,0.0733944954
24,9820,60,21,10,28,1,44,126,0.0005046346,0.0038545373,0.0673076923
25,9819,59,16,9,30,4,41,131,0.0004070458,0.0037138124,0.09
26,9842,48,12,5,27,4,38,122,0.0002764553,0.0037226571,0.0930232558
27,9853,39,11,6,21,1,39,119,0.0002763994,0.0037401885,0.1025641026
28,9867,36,11,6,19,0,38,109,0.0002760924,0.0035912507,0.1351351351
29,9867,35,10,5,19,1,35,113,0.0002436355,0.0034014062,0.1428571429
30,9867,31,8,5,17,1,32,120,0.0002112361,0.0032663672,0.1111111111
31,9873,24,7,5,12,0,27,126,0.0001950069,0.003097213,0.1176470588
32,9876,20,4,2,12,2,30,124,9.75132979626774E-05,0.0029713345,0.1
