Ticks HealthyPersonsInTown InfectedPersonsInTown IncPeriodPersonsInTown IncPeriodPersonsInTown2 AntibioticTreatedPersonsInTown AntibioticTreatedPersonsInTown2 InfectedPersonsInHospital HealthyPersonsInHospital pGetInfectedTown AvMicResistance AvPathResistance 
0 10000 50 50 0 0 0 0 0 8.001588695179564E-4 0.0 0.0
1 9969 60 60 0 0 0 0 21 9.622012131206057E-4 0.0 0.0
2 9943 68 68 0 0 0 0 39 0.0010924554418710844 0.0 0.0
3 9916 77 77 0 0 0 0 57 0.0012392733737145412 0.0 0.0
4 9891 86 86 0 0 0 0 73 0.001386343211234579 0.0 0.0
5 9856 99 39 0 43 17 0 95 6.300798973532155E-4 2.8429283582089596E-4 0.0
6 9824 113 45 0 50 18 0 113 7.283321902777413E-4 6.064913830845777E-4 0.0
7 9796 120 43 17 57 3 0 134 9.731661926569741E-4 9.713338557213931E-4 0.0
8 9785 136 50 18 62 6 0 129 0.0011023658329373477 0.0012794757044776118 0.029411764705882353
9 9770 144 45 20 71 8 0 136 0.0010544760571164111 0.0016433705373134339 0.05555555555555555
10 9786 113 43 24 42 4 16 135 0.00108856849134239 0.002499091979104482 0.07751937984496124
11 9782 121 51 28 42 0 17 130 0.0012830175390362141 0.002248598413930347 0.08695652173913043
12 9774 107 45 11 45 6 36 133 9.115057418575161E-4 0.002592276894527366 0.09090909090909091
13 9767 111 47 10 47 7 39 133 9.280644025174353E-4 0.0026355525830845782 0.06666666666666667
14 9770 109 45 14 46 4 46 125 9.605308263603041E-4 0.0029029458059701523 0.04516129032258064
15 9767 106 45 11 44 6 51 126 9.122443264756525E-4 0.0030214011741293554 0.05732484076433121
16 9777 100 40 10 46 4 57 116 8.14174004116175E-4 0.0031948198248756246 0.06369426751592357
17 9785 100 40 13 43 4 44 121 8.623259926125228E-4 0.003325752488557217 0.0625
18 9773 102 39 14 45 4 48 127 8.631992341240292E-4 0.0034890629532338363 0.07333333333333333
19 9797 94 30 11 47 6 38 121 6.666777114242723E-4 0.003613362093532342 0.09848484848484848
20 9806 84 28 11 38 7 41 119 6.34220968468277E-4 0.0037348183293532343 0.08
